p0	p1	p2	p3	p4	total	unknown
35126	0	8323884	291200	124274	9188660	414176
33869	0	8394405	257406	122181	9188660	380799
24841	0	8516796	182506	95157	9188660	369360
52270	3863444	4165273	462361	171378	9188660	473934
31735	0	8394256	258125	111413	9188660	393131
19149	343451	8253737	137442	66139	9188660	368742
71677	1924580	5609230	653370	224266	9188660	705537
27108	1551916	6956574	223107	82109	9188660	347846
47034	0	8161163	348914	203804	9188660	427745
77051	0	7462688	667593	282210	9188660	699118
36523	0	8324387	290970	151521	9188660	385259
91018	0	7447275	870142	263236	9188660	516989
68692	0	7581935	589832	240806	9188660	707395
32507	0	8395248	258996	125012	9188660	376897
68007	0	7697135	582782	256779	9188660	583957
154002	0	7752290	635893	197218	9188660	449257
719	0	8965140	0	0	9188660	222801
31295	0	8366760	279546	92405	9188660	418654
25025	0	8512435	205824	57456	9188660	387920
83122	0	7501268	798730	234969	9188660	570571
23283	0	8568769	172461	82285	9188660	341862
21301	1574770	6966727	179099	55732	9188660	391031
33454	931502	7402050	265225	114962	9188660	441467
51423	484627	7523048	424469	154830	9188660	550263
79688	0	7542058	789861	248760	9188660	528293
85910	0	7309280	825812	243753	9188660	723905
28345	0	8487568	222525	100360	9188660	349862
37055	0	8329531	283416	140424	9188660	398234
96919	0	6657783	895147	318530	9188660	1220281
42892	2096179	6774531	0	0	9188660	275058
29311	0	8437233	222532	104137	9188660	395447
1167	0	8945827	0	0	9188660	241666
41415	0	8261568	370313	119067	9188660	396297
36552	0	8304211	331788	107287	9188660	408822
84274	0	6865747	746582	286746	9188660	1205311
70625	0	7679765	637007	227315	9188660	573948
36515	1651418	7272977	0	0	9188660	227750
24657	0	8518194	200157	69705	9188660	375947
29134	0	8476740	233201	100804	9188660	348781
47413	0	8039343	418437	169351	9188660	514116
78711	0	7559943	689767	279737	9188660	580502
46318	0	8192635	425924	129430	9188660	394353
606	0	8974056	0	0	9188660	213998
31131	0	8405550	232849	125377	9188660	393753
56098	0	7997617	449090	215649	9188660	470206
56988	0	8035137	499931	187590	9188660	409014
41197	0	8243745	352617	144010	9188660	407091
18815	0	8637941	131986	70787	9188660	329131
62454	0	7849924	561463	205880	9188660	508939
72074	2738299	4982065	668182	233608	9188660	494432
23167	0	8537154	180421	85160	9188660	362758
48375	0	8113697	461131	134281	9188660	431176
45471	0	8154681	431600	119065	9188660	437843
1429	0	8899486	0	0	9188660	287745
38877	0	8318153	279466	147035	9188660	405129
55274	0	7977039	511892	161100	9188660	483355
20756	0	8596557	170862	51398	9188660	349087
81246	0	8324312	276298	120293	9188660	386511
34054	185490	8139748	309103	89519	9188660	430746
27593	0	8481027	239029	79208	9188660	361803
55777	0	8047810	509641	153904	9188660	421528
26750	0	8490295	212191	100066	9188660	359358
52621	0	8040677	398914	223960	9188660	472488
43472	0	8237174	367543	140172	9188660	400299
52622	0	8035734	484184	149176	9188660	466944
53271	0	7975283	496829	148609	9188660	514668
38627	0	8300508	336745	113149	9188660	399631
57033	1504267	6441169	538597	147066	9188660	500528
143471	72975	5905501	1287764	512858	9188660	1266091
31986	0	8377771	269012	110373	9188660	399518
96156	332017	6804218	946990	254471	9188660	754808
56862	0	8026205	510863	183087	9188660	411643
33611	0	8362046	273289	106145	9188660	413569
38602	0	8249496	330863	112323	9188660	457376
64771	0	7831428	554008	221277	9188660	517176
68100	1545893	6131895	619106	248321	9188660	575345
48326	0	8120483	412737	165519	9188660	441595
130144	558496	5630824	1241190	396780	9188660	1231226
166485	1754005	2932990	1607451	493363	9188660	2234366
34235	0	8330792	308174	92842	9188660	422617
104353	0	6458072	975580	330388	9188660	1320267
94791	0	7218511	871002	327371	9188660	676985
51954	0	8034200	459997	170777	9188660	471732
28480	0	8468132	237851	77830	9188660	376367
169849	1562005	3216881	1589357	576167	9188660	2074401
52343	0	8103026	435997	186546	9188660	410748
766	0	8954807	0	0	9188660	233087
51032	0	8007309	455998	180630	9188660	493691
67833	0	7667871	638874	188141	9188660	625941
24998	0	8512530	210111	71040	9188660	369981
55233	1458535	6503661	530622	149839	9188660	490770
67197	0	7767088	562041	263754	9188660	528580
62064	0	8456642	212240	85252	9188660	372462
50803	0	8051886	501589	122088	9188660	462294
70822	3883467	3316095	627294	254139	9188660	1036843
9924	1473643	7463354	0	0	9188660	241739
127871	250580	5226452	1210520	364248	9188660	2008989
1143	0	8951295	0	0	9188660	236222
38368	0	8300768	335411	128912	9188660	385201
82742	0	7517794	737104	319160	9188660	531860
19404	0	8601605	124357	56892	9188660	386402
30538	0	8391002	263515	100126	9188660	403479
38407	628732	7630370	337275	104952	9188660	448924
48762	0	8017746	450824	161835	9188660	509493
85582	0	8279205	313936	115191	9188660	394746
879	0	8958467	0	0	9188660	229314
34213	0	8395500	272913	114344	9188660	371690
31538	0	8355209	267430	107560	9188660	426923
24879	0	8503307	189854	106175	9188660	364445
42594	0	8246569	394610	115872	9188660	389015
36939	0	8322471	314560	115118	9188660	399572
74340	0	7470892	665212	249085	9188660	729131
91200	0	7414631	827428	315802	9188660	539599
80602	0	7555644	725827	284958	9188660	541629
108356	0	6861524	1030306	341932	9188660	846542
20001	0	8611701	147983	49884	9188660	359091
30258	0	8430916	250912	86863	9188660	389711
78333	1500205	5480226	724018	234413	9188660	1171465
48691	0	8090093	388167	169115	9188660	492594
86578	812038	5856738	822387	235091	9188660	1375828
12830	603981	8354502	0	0	9188660	217347
34737	0	8342907	316760	93744	9188660	400512
96814	0	7160826	775515	405107	9188660	750398
25855	0	8515723	208615	77281	9188660	361186
26143	0	8497363	197048	84754	9188660	383352
28533	0	8446197	256694	91184	9188660	366052
29401	0	8433861	261310	77183	9188660	386905
31966	0	8402003	253020	111803	9188660	389868
39053	1163467	7054218	358128	108545	9188660	465249
47607	0	8188420	362230	204167	9188660	386236
80526	0	7518987	741723	274163	9188660	573261
179989	1916655	2467328	1711875	550663	9188660	2362150
89907	0	7419274	806912	304589	9188660	567978
72855	0	7698805	667778	248658	9188660	500564
39539	0	8289402	313830	134874	9188660	411015
26484	0	8475200	211544	106233	9188660	369199
80615	0	7511689	766688	249074	9188660	580594
103097	2287857	4877383	924729	346766	9188660	648828
39256	0	8309983	356092	102771	9188660	380558
45960	0	8170974	405972	162773	9188660	402981
51766	0	8086602	452439	166868	9188660	430985
62252	0	7746401	518894	220570	9188660	640543
78248	0	7644334	706523	244695	9188660	514860
35521	0	8341297	292397	110281	9188660	409164
42443	0	8166903	374569	127022	9188660	477723
44413	0	8176195	366371	170250	9188660	431431
98463	0	6636253	976749	290264	9188660	1186931
12156	928906	8003656	0	0	9188660	243942
105901	2460100	6332109	0	0	9188660	290550
34988	0	8381824	276361	128785	9188660	366702
53848	794766	7156591	452220	198745	9188660	532490
1219	0	8917541	0	0	9188660	269900
62792	0	7871941	579065	168685	9188660	506177
36547	0	8324516	308775	113577	9188660	405245
26995	0	8469404	211284	99379	9188660	381598
51712	0	8079783	429419	194728	9188660	433018
86383	0	7478027	743715	355158	9188660	525377
134026	0	5154739	1216853	372035	9188660	2311007
31253	0	8439098	239704	106098	9188660	372507
50620	0	8013715	434174	191380	9188660	498771
21372	0	8591716	167525	53093	9188660	354954
54212	0	7991132	517628	175730	9188660	449958
37631	0	8326397	324394	104347	9188660	395891
32451	0	8360680	250326	117354	9188660	427849
38050	0	8237114	305273	153203	9188660	455020
101648	3927528	4895200	0	0	9188660	264284
67324	0	7770735	586438	221486	9188660	542677
46157	0	8096096	398695	175866	9188660	471846
62518	0	7900372	543685	207729	9188660	474356
30659	0	8379458	236254	127411	9188660	414878
19508	0	8615125	153797	70992	9188660	329238
25436	0	8514821	212837	82191	9188660	353375
64238	0	7699875	558334	204116	9188660	662097
29777	0	8473498	228805	97946	9188660	358634
23702	745319	7816956	200525	54861	9188660	347297
89440	0	6732301	792247	325582	9188660	1249090
30156	0	8408256	236090	107507	9188660	406651
35964	1375046	6973710	347027	78107	9188660	378806
29302	0	8438142	209625	119974	9188660	391617
42973	0	8177928	352653	155810	9188660	459296
23521	0	8536841	200483	69123	9188660	358692
29080	1967576	6482591	206672	120795	9188660	381946
38656	0	8308992	328889	118854	9188660	393269
15357	0	8699981	116909	43183	9188660	313230
88754	777224	6636135	783544	312453	9188660	590550
101642	1108097	5224132	951818	344235	9188660	1458736
52164	0	7985631	487517	150995	9188660	512353
114719	0	6689958	1111435	343007	9188660	929541
55875	0	7992104	509783	164155	9188660	466743
34457	0	8397931	248369	126246	9188660	381657
1245	0	8944961	0	0	9188660	242454
30225	0	8446987	231599	109063	9188660	370786
21325	0	8582364	168095	67722	9188660	349154
59280	0	8010867	501634	216109	9188660	400770
52684	330986	7744613	480324	165278	9188660	414775
58806	0	7961427	489074	233439	9188660	445914
57638	2765556	4728669	550550	165591	9188660	920656
101499	0	7068218	929294	375250	9188660	714399
69848	0	7704827	664528	181021	9188660	568436
119034	0	5946385	1110573	365507	9188660	1647161
131550	0	5942237	1223444	447140	9188660	1444289
44167	1549075	6698055	399891	122044	9188660	375428
58496	562715	7264726	502434	211269	9188660	589020
22033	0	8560910	159961	61060	9188660	384696
80165	3748082	5088178	0	0	9188660	272235
90467	466174	6980398	902698	262580	9188660	486343
24642	0	8468070	164754	114572	9188660	416622
21855	0	8587713	186154	56278	9188660	336660
80675	623851	6125111	771536	234448	9188660	1353039
18210	517900	8046337	138194	41890	9188660	426129
42689	0	8222635	390738	130588	9188660	402010
57762	0	7914809	537248	183902	9188660	494939
46615	0	8145668	420872	145132	9188660	430373
87676	0	6766792	781726	314112	9188660	1238354
57537	0	7911464	486138	206127	9188660	527394
102997	0	7056616	917087	370257	9188660	741703
180291	818506	3245287	1639146	603599	9188660	2701831
23829	0	8541046	191002	91270	9188660	341513
53367	0	7998968	476910	155413	9188660	504002
148869	0	5504453	1332412	486614	9188660	1716312
78153	460300	6671234	672929	269167	9188660	1036877
33421	0	8358176	289555	109717	9188660	397791
144529	0	5627433	1414058	471556	9188660	1531084
24608	0	8547096	201877	83312	9188660	331767
85981	2426467	4990528	827775	251178	9188660	606731
868	0	8946233	0	0	9188660	241559
1316	0	8944459	0	0	9188660	242885
82068	0	7532700	754179	264727	9188660	554986
20849	0	8588262	177858	51609	9188660	350082
16871	0	8662765	113235	70548	9188660	325241
59903	3358216	4154644	535406	229061	9188660	851430
33984	0	8382608	263234	121269	9188660	387565
32036	0	8390722	272023	105289	9188660	388590
63278	0	7852841	620277	194691	9188660	457573
111979	0	6802360	1082511	311718	9188660	880092
59344	1401213	6450760	526648	206548	9188660	544147
54433	0	8057378	499623	155292	9188660	421934
29266	0	8399375	223459	85639	9188660	450921
49905	0	8088641	450380	175029	9188660	424705
64878	0	7747299	576466	215789	9188660	584228
12945	0	8715379	106871	33338	9188660	320127
21950	0	8585470	176264	63790	9188660	341186
43566	0	8205483	386096	122581	9188660	430934
56359	0	8058469	475247	196506	9188660	402079
60571	0	8476858	207566	80203	9188660	363462
100554	160776	6966635	890644	369119	9188660	700932
43263	0	8160267	385127	130454	9188660	469549
122604	0	6616087	1163432	369081	9188660	917456
49518	0	8094188	395465	205580	9188660	443909
57077	0	7838229	523539	174779	9188660	595036
45909	1979625	6181975	421213	133364	9188660	426574
22606	0	8558905	208352	54845	9188660	343952
38447	0	8317845	325570	118814	9188660	387984
67871	409697	7264161	593645	244156	9188660	609130
27079	0	8485353	229466	71622	9188660	375140
63975	0	7740941	580854	180657	9188660	622233
24690	0	8558164	221540	58850	9188660	325416
38227	0	8289422	342668	119431	9188660	398912
19559	0	8621813	150287	49822	9188660	347179
31174	1565480	7339917	0	0	9188660	252089
72200	0	7645467	632449	276335	9188660	562209
128601	0	6321428	1185633	436638	9188660	1116360
30186	0	8464961	251141	96552	9188660	345820
50634	0	8094431	466484	170296	9188660	406815
27352	2751107	5699159	225963	77733	9188660	407346
115345	0	6155493	1090780	352258	9188660	1474784
34738	0	8339909	267841	140027	9188660	406145
37537	0	8275943	309650	129756	9188660	435774
67690	0	7535231	669688	161889	9188660	754162
99485	0	6464868	944742	270282	9188660	1409283
25062	0	8522142	212706	78598	9188660	350152
90785	0	7298363	806501	309747	9188660	683264
54882	0	8005381	520986	141875	9188660	465536
28956	0	8456323	220847	100144	9188660	382390
34637	1944163	6405548	238083	169106	9188660	397123
27652	0	8471657	220922	85940	9188660	382489
48343	1086334	7066986	403662	174518	9188660	408817
61272	0	7967518	573963	175893	9188660	410014
34315	501378	7886679	292482	102670	9188660	371136
37576	0	8348910	310408	131049	9188660	360717
91317	429368	6128262	850983	248935	9188660	1439795
29661	0	8441695	230085	107128	9188660	380091
34881	0	8376328	273819	127495	9188660	376137
107054	2783691	3285621	1006025	339737	9188660	1666532
54285	1329469	6530645	469895	164855	9188660	639511
40071	0	8301566	361350	109004	9188660	376669
26564	0	8489308	235127	69488	9188660	368173
22668	0	8575433	175462	71735	9188660	343362
18524	0	8625614	128593	64262	9188660	351667
23356	0	8536249	169725	91399	9188660	367931
40602	321370	7936047	344067	123703	9188660	422871
61723	0	7762467	554282	182662	9188660	627526
65612	607818	7027845	561016	209571	9188660	716798
27823	0	8488848	234994	81756	9188660	355239
38448	0	8275200	326585	130058	9188660	418369
32351	0	8389940	250246	113952	9188660	402171
42883	0	8222548	380918	132891	9188660	409420
24000	0	8547362	173784	61346	9188660	382168
171237	390677	3799675	1645548	521727	9188660	2659796
65073	0	7848860	564321	252379	9188660	458027
92755	0	7225697	910354	304976	9188660	654878
42055	0	8246521	387241	127564	9188660	385279
43616	479534	7668528	356851	137536	9188660	502595
66120	0	7877649	591096	213214	9188660	440581
36462	0	8296556	333100	111380	9188660	411162
32043	0	8374721	282848	85414	9188660	413634
42861	0	8228567	365449	132159	9188660	419624
69838	0	7486618	602738	254897	9188660	774569
63012	0	7681675	519229	240461	9188660	684283
1153	0	8957086	0	0	9188660	230421
36050	0	8311950	291521	127284	9188660	421855
31942	0	8389911	243994	126269	9188660	396544
36098	0	8327640	274768	135957	9188660	414197
753	0	8949306	0	0	9188660	238601
41370	0	8238497	354699	150473	9188660	403621
32494	0	8354917	259411	99776	9188660	442062
118678	368699	6215946	1079660	434730	9188660	970947
46945	0	8064774	412148	149791	9188660	515002
39241	0	8248086	336082	108549	9188660	456702
45403	0	8181557	420150	126618	9188660	414932
38928	0	8312032	329717	130626	9188660	377357
66781	0	7810545	622009	222626	9188660	466699
1031	0	8941119	0	0	9188660	246510
1391	0	8930003	0	0	9188660	257266
38974	0	8262491	365485	100211	9188660	421499
69207	5521840	3368761	0	0	9188660	228852
40667	0	8208353	365212	107067	9188660	467361
47411	0	8110228	409988	146292	9188660	474741
34923	0	8345509	296656	129655	9188660	381917
38682	316350	7903205	334800	125046	9188660	470577
27534	0	8486510	237581	80766	9188660	356269
43897	1039101	7183441	372777	149208	9188660	400236
33785	0	8360516	288786	121979	9188660	383594
137782	720069	4465327	1298241	391982	9188660	2175259
33511	0	8404687	287303	93243	9188660	369916
183680	0	7367008	747954	254136	9188660	635882
1340	0	8942454	0	0	9188660	244866
28119	1519263	6872398	228822	89937	9188660	450121
91827	2319996	4963784	863329	283694	9188660	666030
55945	377443	7566261	486736	178944	9188660	523331
84200	0	7490639	776057	299100	9188660	538664
122034	0	7894166	497272	176762	9188660	498426
21823	0	8572452	160712	84206	9188660	349467
33770	0	8397483	239219	109121	9188660	409067
24586	578716	7973818	148699	96557	9188660	366284
75660	1199317	5960459	675604	200932	9188660	1076688
16967	0	8653537	106848	56315	9188660	354993
107165	849770	6247323	949080	292817	9188660	742505
92292	1216150	5761238	717010	299564	9188660	1102406
83240	0	7065746	676141	246605	9188660	1116928
26600	0	8506579	186093	96963	9188660	372425
34686	0	8396577	276921	101380	9188660	379096
144253	2276657	3331571	1147194	437740	9188660	1851245
47153	478084	7654561	333317	150220	9188660	525325
68641	1716631	5664134	548922	219990	9188660	970342
49511	0	8127846	414601	136661	9188660	460041
83336	2176510	5330810	702427	256424	9188660	639153
75993	0	7623264	599197	274477	9188660	615729
