Sample	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
s158-c48.1-1.250-HCN2JBBXX-l5	36.19	18685885.0	50.0	14798392.0	79.2	49.84	2914353.0	2893824.0	2890578.0	17935.0	2886.0	2954.0	0.12	0.0	1.32	0.0	1.2	3130382.0	16.75	45182.0	0.24	0.0	3.73	0.08	0.0	0.0
s170-c54.1-5.000-HFWGVBBXX-l1	217.3	21065931.0	50.0	14620952.0	69.41	49.84	2931917.0	2913579.0	2914545.0	13104.0	2016.0	2252.0	0.13	0.0	1.33	0.0	1.21	4068561.0	19.31	55896.0	0.27	0.0	10.96	0.06	0.0	0.0
s092-c27-0.625-HCMJNBBXX-l2	11.35	13375991.0	50.0	10749098.0	80.36	49.9	2076401.0	2052930.0	2060512.0	12298.0	1411.0	2180.0	0.13	0.0	1.5	0.0	1.31	2083423.0	15.58	51143.0	0.38	0.0	3.54	0.14	0.0	0.0
s198-c72-1.250-HFJTMBBXX-l4	85.01	22904638.0	50.0	16998127.0	74.21	49.84	3270144.0	3250002.0	3244272.0	20073.0	2989.0	2810.0	0.12	0.0	1.34	0.0	1.2	3783584.0	16.52	50041.0	0.22	0.0	8.99	0.06	0.0	0.0
s127-c36-0.625-HFJTMBBXX-l2	143.58	13640515.0	50.0	9114262.0	66.82	49.83	1547764.0	1529572.0	1533532.0	10772.0	1419.0	2041.0	0.14	0.0	1.44	0.0	1.23	1517460.0	11.12	50876.0	0.37	0.0	21.54	0.14	0.0	0.0
s066-c10.1-0.000-HCMNYBBXX-l2	149.17	21422854.0	50.0	18016614.0	84.1	49.9	3686621.0	3658848.0	3653838.0	26871.0	2997.0	2915.0	0.12	0.0	1.52	0.0	1.29	2436721.0	11.37	39984.0	0.19	0.0	4.24	0.1	0.0	0.0
s029-c70.1-2.500-HCMYYBBXX-l5	186.71	10736077.0	50.0	8753553.0	81.53	49.87	1775913.0	1764853.0	1762774.0	10349.0	1298.0	1492.0	0.11	0.0	1.33	0.0	1.2	1857177.0	17.3	24734.0	0.23	0.0	0.87	0.07	0.0	0.0
s141-c43.1-0.000-HCN2JBBXX-l5	47.35	20083953.0	50.0	17368895.0	86.48	49.84	2997844.0	2976662.0	2969410.0	22418.0	2636.0	3380.0	0.12	0.0	1.42	0.0	1.22	2210353.0	11.01	34893.0	0.17	0.0	2.22	0.12	0.0	0.0
s054-c7.2-2.500-HCMYYBBXX-l6	201.21	12407803.0	50.0	160315.0	1.29	49.73	22803.0	22519.0	22545.0	174.0	14.0	70.0	0.2	0.01	1.34	0.0	1.14	178521.0	1.44	2524.0	0.02	0.0	97.23	0.01	0.0	0.0
s185-c57-5.000-HFJTMBBXX-l4	61.62	13505861.0	50.0	6446903.0	47.73	49.85	1306952.0	1298808.0	1296482.0	7983.0	1260.0	1227.0	0.12	0.0	1.34	0.0	1.19	2810689.0	20.81	34982.0	0.26	0.0	31.15	0.04	0.0	0.0
s159-c48.1-2.500-HCN2JBBXX-l5	22.66	29446059.0	50.0	21961254.0	74.58	49.84	4422874.0	4396172.0	4387358.0	27154.0	4195.0	4167.0	0.12	0.0	1.32	0.0	1.18	5739399.0	19.49	77900.0	0.26	0.0	5.59	0.07	0.0	0.0
s111-c31.1-0.000-HCMNYBBXX-l3	24.3	2686464.0	50.0	2305613.0	85.82	49.89	423217.0	420137.0	419453.0	3019.0	352.0	393.0	0.17	0.0	1.43	0.0	1.25	304360.0	11.33	4906.0	0.18	0.0	2.56	0.11	0.0	0.0
s186-c62-0.000-HFJTMBBXX-l4	90.06	12758509.0	50.0	11004074.0	86.25	49.85	1992708.0	1979777.0	1975869.0	12979.0	1804.0	2056.0	0.12	0.0	1.44	0.0	1.21	1430385.0	11.21	24676.0	0.19	0.0	2.24	0.11	0.0	0.0
s162-c51-0.625-HFWGVBBXX-l1	90.63	23010139.0	50.0	20005338.0	86.94	49.82	3827682.0	3799016.0	3801021.0	19968.0	2234.0	4459.0	0.15	0.0	1.5	0.0	1.26	2423070.0	10.53	45257.0	0.2	0.0	2.2	0.13	0.0	0.0
s028-c70.1-1.250-HCMYYBBXX-l5	280.77	22929164.0	50.0	18393088.0	80.22	49.87	3651667.0	3627226.0	3625057.0	20864.0	2710.0	3036.0	0.11	0.0	1.35	0.0	1.2	4189278.0	18.27	62896.0	0.27	0.0	1.16	0.07	0.0	0.0
s110-c30-5.000-HCHFWBBXX-l6	144.16	20543294.0	50.0	15685407.0	76.35	49.89	3348610.0	3326421.0	3324709.0	18509.0	2775.0	2617.0	0.12	0.0	1.4	0.0	1.2	3829172.0	18.64	56428.0	0.27	0.0	4.67	0.07	0.0	0.0
s146-c44-0.000-HCN2JBBXX-l5	43.01	19415092.0	50.0	16672505.0	85.87	49.86	2933077.0	2913483.0	2907365.0	20181.0	2623.0	2908.0	0.11	0.0	1.43	0.0	1.22	2290254.0	11.8	37289.0	0.19	0.0	2.03	0.11	0.0	0.0
s225-c52.2-5.000-HFWGVBBXX-l3	118.94	39547161.0	50.0	29872273.0	75.54	49.84	6112749.0	6076568.0	6070380.0	31973.0	4788.0	5608.0	0.13	0.0	1.36	0.0	1.2	7724715.0	19.53	105672.0	0.27	0.0	4.6	0.06	0.0	0.0
s124-c35-2.500-HCMJNBBXX-l3	241.18	13465658.0	50.0	10406749.0	77.28	49.87	2160682.0	2148225.0	2143508.0	13630.0	1731.0	1813.0	0.17	0.0	1.43	0.0	1.23	2653328.0	19.7	34001.0	0.25	0.0	2.7	0.06	0.0	0.0
s054-c7.2-2.500-HCHFWBBXX-l4	185.13	21392510.0	50.0	266575.0	1.25	49.72	39595.0	39135.0	39151.0	292.0	18.0	134.0	0.2	0.01	1.28	0.0	1.17	307767.0	1.44	4076.0	0.02	0.0	97.28	0.01	0.0	0.0
s217-c46.1-0.625-HCMJNBBXX-l5	186.23	12156669.0	50.0	8418806.0	69.25	49.83	1478895.0	1463940.0	1465581.0	10271.0	1242.0	1801.0	0.15	0.0	1.44	0.0	1.2	1954494.0	16.08	61422.0	0.51	0.0	14.05	0.11	0.0	0.0
s021-c21.1-0.000-HCMYYBBXX-l5	170.28	13385678.0	50.0	11549777.0	86.28	49.86	2056607.0	2041808.0	2037772.0	14767.0	1816.0	2252.0	0.12	0.0	1.41	0.0	1.21	1639332.0	12.25	23896.0	0.18	0.0	1.19	0.1	0.0	0.0
s121-c35-0.000-HCMJNBBXX-l3	21.47	14215085.0	50.0	11829962.0	83.22	49.88	2085842.0	2069043.0	2067154.0	14474.0	1903.0	2311.0	0.16	0.0	1.49	0.0	1.23	1673108.0	11.77	28845.0	0.2	0.0	4.68	0.13	0.0	0.0
s215-c26.2-5.000-HFWGVBBXX-l2	213.64	19287172.0	50.0	15199359.0	78.81	49.83	3088831.0	3068782.0	3064117.0	18862.0	2634.0	3218.0	0.12	0.0	1.37	0.0	1.2	3363468.0	17.44	47741.0	0.25	0.0	3.44	0.07	0.0	0.0
s205-c73.1-5.000-HFWGVBBXX-l2	236.91	23230422.0	50.0	18414459.0	79.27	49.85	3704189.0	3681568.0	3672902.0	24145.0	3383.0	3759.0	0.12	0.01	1.43	0.0	1.19	3769117.0	16.22	57760.0	0.25	0.0	4.19	0.07	0.0	0.0
s218-c46.1-1.250-HFWGVBBXX-l2	235.72	20363790.0	50.0	9670032.0	47.49	49.83	1877930.0	1865052.0	1864180.0	10424.0	1533.0	1793.0	0.13	0.0	1.39	0.0	1.21	3366228.0	16.53	41410.0	0.2	0.0	35.73	0.05	0.0	0.0
