Sample	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
s111-c31.1-0.000-HCHFWBBXX-l6	135.02	21866090.0	50.0	18896968.0	86.42	49.89	3484744.0	3459407.0	3453327.0	25011.0	3017.0	3389.0	0.12	0.0	1.47	0.0	1.24	2452682.0	11.22	38869.0	0.18	0.0	2.08	0.11	0.0	0.0
s173-c55.1-1.250-HFWGVBBXX-l1	109.3	19309364.0	50.0	14698196.0	76.12	49.84	2864152.0	2844580.0	2841752.0	17402.0	2379.0	2619.0	0.14	0.0	1.38	0.0	1.21	3027380.0	15.68	42440.0	0.22	0.0	7.92	0.07	0.0	0.0
s122-c35-0.625-HCMJNBBXX-l3	177.46	38892432.0	50.0	33038527.0	84.95	49.88	5614177.0	5561782.0	5561134.0	41352.0	5206.0	6485.0	0.16	0.0	1.49	0.0	1.24	4942480.0	12.71	78518.0	0.2	0.0	2.01	0.13	0.0	0.0
s140-c38-5.000-HCMJNBBXX-l3	30.8	34180766.0	50.0	23706200.0	69.36	49.85	4698427.0	4670499.0	4661742.0	28466.0	4129.0	4090.0	0.17	0.0	1.41	0.0	1.19	6608310.0	19.33	83872.0	0.25	0.0	11.0	0.06	0.0	0.0
s040-c2.1-5.000-HCHFWBBXX-l3	165.22	20744487.0	50.0	16292503.0	78.54	49.87	3363615.0	3343496.0	3336602.0	20630.0	3214.0	3169.0	0.15	0.0	1.38	0.0	1.22	3812901.0	18.38	53545.0	0.26	0.0	2.76	0.07	0.0	0.0
s160-c48.1-5.000-HFJTMBBXX-l3	129.64	17752882.0	50.0	13371996.0	75.32	49.84	2750375.0	2733590.0	2728050.0	17268.0	2499.0	2558.0	0.13	0.0	1.35	0.0	1.18	3161274.0	17.81	43839.0	0.25	0.0	6.56	0.07	0.0	0.0
s038-c2.1-1.250-HCMYYBBXX-l5	21.99	7226639.0	50.0	5625397.0	77.84	49.85	1091688.0	1084005.0	1083027.0	6479.0	1064.0	1118.0	0.12	0.0	1.29	0.0	1.21	1478470.0	20.46	19424.0	0.27	0.0	1.37	0.06	0.0	0.0
s167-c54.1-0.625-HFWGVBBXX-l1	157.48	21478484.0	50.0	18077196.0	84.16	49.83	2984636.0	2955274.0	2955976.0	22203.0	2766.0	3691.0	0.13	0.0	1.48	0.0	1.21	2494273.0	11.61	43364.0	0.2	0.0	3.87	0.15	0.0	0.0
s005-c64-5.000-HCGYCBBXX-l5	160.88	23863653.0	50.0	18881836.0	79.12	49.87	3281141.0	3262390.0	3256788.0	18552.0	2932.0	2869.0	0.16	0.01	1.49	0.01	1.22	4375040.0	18.33	76522.0	0.32	0.0	2.14	0.08	0.0	0.0
s039-c2.1-2.500-HCHFWBBXX-l3	155.82	20300224.0	50.0	15953661.0	78.59	49.85	3245511.0	3224652.0	3219691.0	19646.0	3036.0	3138.0	0.15	0.0	1.32	0.0	1.21	4160789.0	20.5	52192.0	0.26	0.0	0.6	0.06	0.0	0.0
s081-c17.1-0.000-HFJYFBBXX-l2	104.36	10986688.0	50.0	8472629.0	77.12	49.91	1579080.0	1562722.0	1565137.0	10941.0	1363.0	1639.0	0.1	0.0	1.4	0.0	1.27	1457068.0	13.26	24317.0	0.22	0.0	9.24	0.16	0.0	0.0
s015-c60.1-5.000-HCGYCBBXX-l5	165.49	8688375.0	50.0	6883045.0	79.22	49.87	1426668.0	1418132.0	1415038.0	9166.0	999.0	1465.0	0.17	0.0	1.35	0.0	1.24	1715595.0	19.75	21389.0	0.25	0.0	0.72	0.07	0.0	0.0
s071-c11.1-0.000-HCHFWBBXX-l5	104.4	25200515.0	50.0	21062110.0	83.58	49.89	4355154.0	4320398.0	4316193.0	31863.0	3219.0	3879.0	0.12	0.0	1.51	0.0	1.31	3085708.0	12.24	43036.0	0.17	0.0	3.91	0.09	0.0	0.0
s099-c22-2.500-HCMJNBBXX-l2	81.67	16811106.0	50.0	8518047.0	50.67	49.89	1832689.0	1820031.0	1819509.0	10507.0	1471.0	1202.0	0.12	0.0	1.4	0.0	1.22	3432792.0	20.42	36313.0	0.22	0.0	28.64	0.05	0.0	0.0
s161-c51-0.000-HFWGVBBXX-l1	106.53	23258205.0	50.0	19981339.0	85.91	49.83	4018047.0	3999153.0	3993123.0	18579.0	2547.0	3798.0	0.14	0.0	1.51	0.0	1.24	2648550.0	11.39	41583.0	0.18	0.0	2.43	0.09	0.0	0.0
s123-c35-1.250-HFJTMBBXX-l2	252.25	9319183.0	50.0	7381633.0	79.21	49.84	1405809.0	1393829.0	1394219.0	8915.0	1162.0	1513.0	0.13	0.0	1.47	0.0	1.24	1568187.0	16.83	22748.0	0.24	0.0	3.62	0.1	0.0	0.0
s155-c45-5.000-HCN2JBBXX-l5	29.96	19476823.0	50.0	15289686.0	78.5	49.84	3057207.0	3038942.0	3035058.0	17024.0	2468.0	2657.0	0.12	0.0	1.33	0.0	1.2	2941978.0	15.11	44054.0	0.23	0.0	6.1	0.07	0.0	0.0
s128-c36-1.250-HFJTMBBXX-l2	149.79	16102548.0	50.0	10082547.0	62.61	49.84	1946779.0	1933634.0	1931976.0	11213.0	1759.0	1831.0	0.12	0.0	1.39	0.0	1.2	2442428.0	15.17	38129.0	0.24	0.0	21.92	0.06	0.0	0.0
s164-c51-2.500-HFWGVBBXX-l1	89.77	22841595.0	50.0	17835170.0	78.08	49.83	4310250.0	4293830.0	4293285.0	12367.0	1360.0	3238.0	0.14	0.0	1.45	0.0	1.27	3346496.0	14.65	44649.0	0.2	0.0	7.02	0.05	0.0	0.0
s046-c19.1-0.000-HCMYYBBXX-l6	11.89	59451.0	50.0	22067.0	37.12	49.79	4380.0	4351.0	4336.0	37.0	3.0	4.0	0.12	0.0	1.67	0.0	1.08	3811.0	6.41	71.0	0.12	0.0	56.29	0.06	0.0	0.0
s197-c72-0.625-HFJTMBBXX-l4	241.36	13811006.0	50.0	10249416.0	74.21	49.85	1713314.0	1695898.0	1698369.0	11515.0	1535.0	1895.0	0.13	0.0	1.4	0.0	1.21	1932966.0	14.0	31613.0	0.23	0.0	11.44	0.12	0.0	0.0
s138-c38-1.250-HFJTMBBXX-l2	116.5	18348430.0	50.0	13136374.0	71.59	49.85	2526112.0	2510532.0	2506513.0	15207.0	2191.0	2201.0	0.12	0.0	1.38	0.0	1.2	3114525.0	16.97	43107.0	0.23	0.0	11.13	0.06	0.0	0.0
s079-c12.1-2.500-HCHFWBBXX-l5	91.52	16956069.0	50.0	12526307.0	73.88	49.92	2797523.0	2776707.0	2776820.0	16519.0	1923.0	2261.0	0.12	0.0	1.27	0.0	1.28	3410657.0	20.11	37835.0	0.22	0.0	5.72	0.06	0.0	0.0
s093-c27-1.250-HFJYFBBXX-l2	45.76	35287489.0	50.0	25508548.0	72.29	49.89	5785833.0	5745882.0	5747513.0	29764.0	3423.0	5133.0	0.12	0.0	1.44	0.0	1.33	7931320.0	22.48	99664.0	0.28	0.0	4.89	0.06	0.0	0.0
s144-c43.1-2.500-HCN2JBBXX-l5	16.55	13725103.0	50.0	10542750.0	76.81	49.85	2130710.0	2116478.0	2115115.0	12016.0	1631.0	1948.0	0.13	0.01	1.31	0.0	1.21	2357873.0	17.18	31520.0	0.23	0.0	5.7	0.08	0.0	0.0
s195-c63.1-5.000-HCMJNBBXX-l4	59.8	20779265.0	50.0	15798079.0	76.03	49.85	3163036.0	3144063.0	3140029.0	17949.0	2217.0	2841.0	0.14	0.01	1.37	0.0	1.22	3658449.0	17.61	50584.0	0.24	0.0	6.06	0.07	0.0	0.0
s083-c17.1-1.250-HCMJNBBXX-l2	31.68	18667608.0	50.0	8893492.0	47.64	49.92	1894117.0	1878453.0	1879844.0	11271.0	1500.0	1502.0	0.12	0.0	1.28	0.0	1.29	3729590.0	19.98	37434.0	0.2	0.0	32.13	0.05	0.0	0.0
s142-c43.1-0.625-HCN2JBBXX-l5	15.92	15710936.0	50.0	13505481.0	85.96	49.86	2095564.0	2075843.0	2074456.0	16581.0	1872.0	2655.0	0.12	0.01	1.43	0.0	1.24	1759883.0	11.2	35580.0	0.23	0.0	2.43	0.18	0.0	0.0
s077-c12.1-0.625-HCMNYBBXX-l2	102.39	13140043.0	50.0	11131497.0	84.71	49.88	1878721.0	1857056.0	1860982.0	13885.0	1682.0	2172.0	0.12	0.0	1.4	0.0	1.31	1534276.0	11.68	25848.0	0.2	0.0	3.27	0.14	0.0	0.0
s119-c33.1-2.500-HCHFWBBXX-l6	221.83	24155301.0	50.0	16812628.0	69.6	49.74	3436483.0	3407984.0	3407346.0	21614.0	2874.0	4649.0	0.16	0.0	1.53	0.0	1.24	5281437.0	21.86	65014.0	0.27	0.0	8.19	0.08	0.0	0.0
s088-c18-1.250-HFJYFBBXX-l2	336.47	9439906.0	50.0	6944534.0	73.57	49.91	1565306.0	1552655.0	1553421.0	9419.0	1235.0	1231.0	0.1	0.0	1.34	0.0	1.26	2061012.0	21.83	26493.0	0.28	0.0	4.26	0.06	0.0	0.0
s017-c47.1-0.625-HCGYCBBXX-l5	416.14	15952013.0	50.0	13818234.0	86.62	49.88	2253698.0	2231919.0	2231437.0	17574.0	1996.0	2691.0	0.17	0.0	1.41	0.0	1.2	1965130.0	12.32	38892.0	0.24	0.0	0.66	0.15	0.0	0.0
s201-c73.1-0.000-HFWGVBBXX-l2	52.01	5215876.0	50.0	4379692.0	83.97	49.84	755864.0	750561.0	748512.0	5597.0	772.0	983.0	0.12	0.0	1.49	0.0	1.21	658958.0	12.63	10700.0	0.21	0.0	3.07	0.13	0.0	0.0
s211-c26.2-0.000-HFWGVBBXX-l2	137.44	27182334.0	50.0	23773649.0	87.46	49.83	4292881.0	4261734.0	4253193.0	30843.0	3881.0	4964.0	0.12	0.0	1.46	0.0	1.21	2921879.0	10.75	48249.0	0.18	0.0	1.51	0.1	0.0	0.0
s103-c29.1-1.250-HCHFWBBXX-l6	123.51	17600452.0	50.0	14070179.0	79.94	49.79	2303286.0	2277226.0	2282446.0	15152.0	1937.0	3751.0	0.14	0.01	1.39	0.0	1.22	2528239.0	14.36	41701.0	0.24	0.0	5.31	0.15	0.0	0.0
s148-c44-1.250-HCN2JBBXX-l5	34.21	28166240.0	50.0	21328614.0	75.72	49.85	4085911.0	4060258.0	4053498.0	25313.0	3333.0	3767.0	0.12	0.0	1.34	0.0	1.21	4296967.0	15.26	61761.0	0.22	0.0	8.74	0.07	0.0	0.0
s130-c36-5.000-HCMJNBBXX-l3	40.79	12995442.0	50.0	7401755.0	56.96	49.84	1465555.0	1456495.0	1454706.0	8252.0	1332.0	1265.0	0.17	0.0	1.38	0.0	1.2	2119174.0	16.31	28791.0	0.22	0.0	26.46	0.05	0.0	0.0
s025-c21.1-5.000-HCMYYBBXX-l5	143.19	22193985.0	50.0	17335903.0	78.11	49.88	3327350.0	3305648.0	3299835.0	21637.0	2644.0	3234.0	0.12	0.0	1.31	0.0	1.2	4619346.0	20.81	56535.0	0.25	0.0	0.74	0.08	0.0	0.0
s135-c37-5.000-HFJTMBBXX-l2	124.62	26759145.0	50.0	14951946.0	55.88	49.86	3034777.0	3017167.0	3013157.0	16455.0	2450.0	2715.0	0.11	0.0	1.37	0.0	1.18	4313574.0	16.12	59126.0	0.22	0.0	27.73	0.05	0.0	0.0
s043-c15.1-1.250-HCHFWBBXX-l4	17.62	29363.0	50.0	22054.0	75.11	49.87	4139.0	4102.0	4102.0	25.0	3.0	9.0	0.12	0.0	1.35	0.0	1.22	4362.0	14.86	90.0	0.31	0.0	9.61	0.12	0.0	0.0
s221-c52.2-0.000-HFWGVBBXX-l3	81.32	40680891.0	50.0	35168134.0	86.45	49.84	6374394.0	6332713.0	6320654.0	41676.0	5392.0	6672.0	0.13	0.0	1.48	0.0	1.22	4637064.0	11.4	79817.0	0.2	0.0	1.84	0.12	0.0	0.0
s229-c58.2-2.500-HCMJNBBXX-l6	117.14	22289226.0	50.0	16726969.0	75.05	49.82	3443174.0	3421799.0	3416503.0	21075.0	2351.0	3245.0	0.13	0.0	1.26	0.0	1.21	4037712.0	18.12	48315.0	0.22	0.0	6.56	0.06	0.0	0.0
s010-c41-5.000-HCMYYBBXX-l4	117.79	16555830.0	50.0	13181207.0	79.62	49.87	2700604.0	2685211.0	2680131.0	15900.0	2347.0	2226.0	0.12	0.0	1.44	0.0	1.2	3201469.0	19.34	47123.0	0.28	0.0	0.69	0.07	0.0	0.0
s001-c64-0.000-HCMYYBBXX-l4	104.16	15334098.0	50.0	13311857.0	86.81	49.86	2388147.0	2372363.0	2369297.0	14658.0	2099.0	2093.0	0.12	0.0	1.5	0.01	1.22	1803845.0	11.76	31635.0	0.21	0.0	1.1	0.12	0.0	0.0
s115-c31.1-5.000-HCMNYBBXX-l3	38.54	14365121.0	50.0	11031837.0	76.8	49.84	2172781.0	2157918.0	2157002.0	12254.0	1500.0	2025.0	0.19	0.01	1.34	0.0	1.21	2615943.0	18.21	34890.0	0.24	0.0	4.67	0.08	0.0	0.0
s004-c64-2.500-HCMYYBBXX-l4	131.39	25693443.0	50.0	20607793.0	80.21	49.88	4199451.0	4175568.0	4170266.0	22610.0	3315.0	3260.0	0.12	0.0	1.41	0.0	1.2	4596864.0	17.89	69854.0	0.27	0.0	1.56	0.07	0.0	0.0
s016-c47.1-0.000-HCMYYBBXX-l4	110.12	13856724.0	50.0	11621170.0	83.87	49.9	2126026.0	2110902.0	2106004.0	16279.0	1777.0	1966.0	0.1	0.0	1.4	0.0	1.2	1568557.0	11.32	27002.0	0.19	0.0	4.51	0.11	0.0	0.0
s095-c27-5.000-HCMJNBBXX-l2	127.58	18108638.0	50.0	13240285.0	73.12	49.91	3064035.0	3045098.0	3044392.0	15644.0	1810.0	2189.0	0.12	0.0	1.37	0.0	1.31	3645142.0	20.13	44991.0	0.25	0.0	6.44	0.06	0.0	0.0
s120-c33.1-5.000-HCHFWBBXX-l6	257.85	23923133.0	50.0	15636678.0	65.36	49.89	3078544.0	3056960.0	3060934.0	13272.0	2209.0	2129.0	0.12	0.01	1.38	0.0	1.23	6281775.0	26.26	75345.0	0.31	0.0	8.0	0.06	0.0	0.0
s188-c62-1.250-HFJTMBBXX-l4	111.48	21027089.0	50.0	16532167.0	78.62	49.84	3209989.0	3190453.0	3186302.0	18262.0	2512.0	2913.0	0.13	0.0	1.34	0.0	1.2	3434936.0	16.34	52990.0	0.25	0.0	4.72	0.07	0.0	0.0
s129-c36-2.500-HCMJNBBXX-l3	24.2	17605696.0	50.0	10309652.0	58.56	49.85	2038543.0	2025252.0	2023828.0	11244.0	1806.0	1665.0	0.17	0.0	1.41	0.0	1.21	2720833.0	15.45	38377.0	0.22	0.0	25.71	0.05	0.0	0.0
s207-c14-0.625-HFWGVBBXX-l2	160.15	20596839.0	50.0	12674561.0	61.54	49.82	2218915.0	2195289.0	2199700.0	14386.0	2039.0	2790.0	0.14	0.01	1.39	0.0	1.2	4136063.0	20.08	55016.0	0.27	0.0	18.03	0.09	0.0	0.0
s101-c29.1-0.000-HCMNYBBXX-l3	68.2	11461571.0	50.0	9669014.0	84.36	49.9	1804959.0	1790963.0	1789331.0	12476.0	1508.0	1644.0	0.16	0.0	1.45	0.0	1.24	1420787.0	12.4	23687.0	0.21	0.0	2.91	0.13	0.0	0.0
s227-c58.2-0.625-HCMJNBBXX-l6	144.6	38961633.0	50.0	33160902.0	85.11	49.82	5526998.0	5473405.0	5471721.0	43009.0	4863.0	7405.0	0.13	0.0	1.38	0.0	1.23	4630715.0	11.89	73982.0	0.19	0.0	2.69	0.13	0.0	0.0
s230-c58.2-5.000-HFWGVBBXX-l3	122.1	39681351.0	50.0	31876467.0	80.33	49.83	6688659.0	6647581.0	6635895.0	41484.0	4755.0	6525.0	0.13	0.0	1.26	0.0	1.19	6153855.0	15.51	84081.0	0.21	0.0	3.88	0.06	0.0	0.0
s153-c45-1.250-HFJTMBBXX-l3	145.37	17282749.0	50.0	13333374.0	77.15	49.83	2483547.0	2464415.0	2464576.0	14473.0	2047.0	2451.0	0.14	0.0	1.34	0.0	1.21	2893423.0	16.74	53914.0	0.31	0.0	5.7	0.09	0.0	0.0
s020-c47.1-5.000-HCGYCBBXX-l5	157.14	20079394.0	50.0	16290068.0	81.13	49.85	3435019.0	3411529.0	3407439.0	22196.0	2304.0	3080.0	0.18	0.0	1.33	0.0	1.18	3566812.0	17.76	47901.0	0.24	0.0	0.8	0.07	0.0	0.0
s031-c39.1-0.000-HCMYYBBXX-l5	134.3	14847331.0	50.0	12830101.0	86.41	49.89	2322901.0	2306974.0	2300764.0	17777.0	2059.0	2301.0	0.1	0.0	1.41	0.0	1.25	1877285.0	12.64	27030.0	0.18	0.0	0.66	0.1	0.0	0.0
s009-c41-2.500-HCMYYBBXX-l4	108.17	16856784.0	50.0	13091242.0	77.66	49.86	2666980.0	2651730.0	2647660.0	14990.0	2177.0	2153.0	0.12	0.0	1.43	0.0	1.19	3386492.0	20.09	44627.0	0.26	0.0	1.92	0.06	0.0	0.0
s056-c32-0.000-HCHFWBBXX-l4	173.58	14513153.0	50.0	247381.0	1.7	49.72	44458.0	44168.0	44058.0	286.0	47.0	67.0	0.17	0.01	1.39	0.0	1.23	163600.0	1.13	2215.0	0.02	0.0	97.14	0.02	0.0	0.0
s175-c55.1-5.000-HFWGVBBXX-l1	101.3	20542118.0	50.0	14685372.0	71.49	49.83	2983257.0	2964489.0	2960982.0	17274.0	2477.0	2524.0	0.13	0.0	1.35	0.0	1.2	3344115.0	16.28	44941.0	0.22	0.0	11.95	0.06	0.0	0.0
s183-c57-1.250-HFJTMBBXX-l4	58.18	14818849.0	50.0	8984882.0	60.63	49.83	1680761.0	1668991.0	1666937.0	10432.0	1729.0	1663.0	0.13	0.0	1.3	0.0	1.21	3313778.0	22.36	45531.0	0.31	0.0	16.64	0.06	0.0	0.0
s107-c30-0.625-HCHFWBBXX-l6	107.12	18597261.0	50.0	15407236.0	82.85	49.89	2722797.0	2692349.0	2698907.0	18555.0	2347.0	2988.0	0.13	0.0	1.44	0.0	1.23	2506504.0	13.48	132189.0	0.71	0.0	2.8	0.17	0.0	0.0
s077-c12.1-0.625-HCHFWBBXX-l5	105.63	19951418.0	50.0	17060912.0	85.51	49.88	2881977.0	2848962.0	2854846.0	21398.0	2451.0	3282.0	0.12	0.0	1.4	0.0	1.32	2317155.0	11.61	39959.0	0.2	0.0	2.53	0.14	0.0	0.0
s013-c60.1-1.250-HCGYCBBXX-l5	180.4	17788965.0	50.0	14568126.0	81.89	49.81	2577244.0	2552011.0	2554265.0	17562.0	1908.0	3509.0	0.19	0.0	1.39	0.0	1.23	3021955.0	16.99	41623.0	0.23	0.0	0.78	0.11	0.0	0.0
s018-c47.1-1.250-HCMYYBBXX-l4	101.38	23064693.0	50.0	18728092.0	81.2	49.87	3656747.0	3625399.0	3626415.0	23814.0	2711.0	3807.0	0.12	0.0	1.37	0.0	1.2	3863635.0	16.75	94213.0	0.41	0.0	1.53	0.11	0.0	0.0
s079-c12.1-2.500-HCMNYBBXX-l2	35.28	21706103.0	50.0	15742510.0	72.53	49.92	3515350.0	3489235.0	3489559.0	20833.0	2241.0	2717.0	0.12	0.0	1.27	0.0	1.27	4384641.0	20.2	47439.0	0.22	0.0	6.99	0.07	0.0	0.0
s086-c18-0.000-HCMJNBBXX-l2	180.75	45640060.0	50.0	38563904.0	84.5	49.91	7556946.0	7501719.0	7490485.0	53067.0	6765.0	6629.0	0.1	0.0	1.47	0.0	1.28	5791874.0	12.69	94436.0	0.21	0.0	2.5	0.11	0.0	0.0
s178-c56-1.250-HCN2JBBXX-l6	28.66	5795497.0	50.0	4474313.0	77.2	49.83	861908.0	856177.0	855011.0	5219.0	795.0	883.0	0.13	0.0	1.38	0.0	1.2	1045724.0	18.04	15259.0	0.26	0.0	4.41	0.08	0.0	0.0
s117-c33.1-0.625-HCHFWBBXX-l6	263.26	23474072.0	50.0	20180783.0	85.97	49.85	3294529.0	3264658.0	3262868.0	24881.0	2865.0	3915.0	0.12	0.0	1.48	0.0	1.22	2338206.0	9.96	44091.0	0.19	0.0	3.73	0.15	0.0	0.0
s198-c72-1.250-HCMJNBBXX-l4	108.71	24791879.0	50.0	18367280.0	74.09	49.85	3531841.0	3510028.0	3503787.0	21812.0	3250.0	2992.0	0.13	0.0	1.34	0.0	1.2	4106048.0	16.56	53604.0	0.22	0.0	9.07	0.06	0.0	0.0
s019-c47.1-2.500-HCGYCBBXX-l5	127.35	15883585.0	50.0	12769326.0	80.39	49.84	2673359.0	2655163.0	2651913.0	17014.0	1879.0	2553.0	0.18	0.0	1.34	0.0	1.18	2981165.0	18.77	37850.0	0.24	0.0	0.53	0.07	0.0	0.0
s176-c56-0.000-HFWGVBBXX-l1	140.61	25427548.0	50.0	22228198.0	87.42	49.82	3911847.0	3886308.0	3877590.0	26225.0	3734.0	4298.0	0.13	0.0	1.48	0.0	1.23	2712282.0	10.67	50380.0	0.2	0.0	1.6	0.12	0.0	0.0
s024-c21.1-2.500-HCHFWBBXX-l3	90.62	17923433.0	50.0	14089220.0	78.61	49.85	2829053.0	2811297.0	2806828.0	17685.0	2063.0	2477.0	0.15	0.0	1.28	0.0	1.19	3622104.0	20.21	42125.0	0.24	0.0	0.88	0.07	0.0	0.0
s030-c70.1-5.000-HCMYYBBXX-l5	72.18	4891990.0	50.0	3976028.0	81.28	49.87	820481.0	815686.0	814436.0	4769.0	635.0	641.0	0.11	0.0	1.35	0.0	1.19	862460.0	17.63	12125.0	0.25	0.0	0.78	0.07	0.0	0.0
s193-c63.1-1.250-HCMJNBBXX-l4	82.54	18731826.0	50.0	14988671.0	80.02	49.85	2660306.0	2633933.0	2638093.0	17046.0	2031.0	3136.0	0.14	0.0	1.42	0.0	1.23	2865391.0	15.3	57880.0	0.31	0.0	4.26	0.12	0.0	0.0
s169-c54.1-2.500-HFWGVBBXX-l1	91.09	21076233.0	50.0	15619284.0	74.11	49.84	3198511.0	3179366.0	3174556.0	18749.0	2485.0	2721.0	0.14	0.0	1.35	0.0	1.19	3893528.0	18.47	48283.0	0.23	0.0	7.12	0.07	0.0	0.0
s057-c32-0.625-HCMYYBBXX-l6	127.57	25584412.0	50.0	4151929.0	16.23	49.59	641472.0	633514.0	635083.0	4191.0	407.0	1791.0	0.17	0.01	1.49	0.0	1.25	1492085.0	5.83	21546.0	0.08	0.0	77.8	0.05	0.0	0.0
s071-c11.1-0.000-HCMNYBBXX-l2	92.55	9717616.0	50.0	8076075.0	83.11	49.89	1661872.0	1648742.0	1647128.0	12035.0	1283.0	1426.0	0.12	0.0	1.49	0.0	1.31	1200918.0	12.36	16311.0	0.17	0.0	4.27	0.09	0.0	0.0
s044-c15.1-2.500-HCMYYBBXX-l6	78.13	32684035.0	50.0	24020476.0	73.49	49.82	4825596.0	4792670.0	4787182.0	28087.0	4354.0	5973.0	0.13	0.0	1.4	0.0	1.21	7159942.0	21.91	84232.0	0.26	0.0	4.28	0.06	0.0	0.0
s085-c17.1-5.000-HCMJNBBXX-l2	233.19	13019954.0	50.0	5806158.0	44.59	49.9	1332019.0	1320155.0	1322162.0	7694.0	1037.0	1126.0	0.12	0.0	1.2	0.0	1.28	1781792.0	13.69	20869.0	0.16	0.0	41.51	0.05	0.0	0.0
s042-c15.1-0.625-HCMYYBBXX-l6	81.81	26451095.0	50.0	22224745.0	84.02	49.82	3737195.0	3698730.0	3702271.0	26195.0	3586.0	5143.0	0.13	0.0	1.45	0.0	1.21	3805929.0	14.39	62784.0	0.24	0.0	1.21	0.14	0.0	0.0
s171-c55.1-0.000-HCN2JBBXX-l6	48.72	5088450.0	50.0	4373520.0	85.95	49.82	764767.0	759405.0	757953.0	5278.0	750.0	786.0	0.12	0.0	1.48	0.01	1.23	550855.0	10.83	9423.0	0.19	0.0	2.93	0.11	0.0	0.0
s022-c21.1-0.625-HCHFWBBXX-l3	151.4	21196507.0	50.0	18247970.0	86.09	49.86	2866272.0	2838083.0	2838162.0	21889.0	2686.0	3535.0	0.15	0.0	1.39	0.01	1.22	2685596.0	12.67	44257.0	0.21	0.0	0.89	0.15	0.0	0.0
s036-c2.1-0.000-HCMYYBBXX-l5	55.14	19329201.0	50.0	16785079.0	86.84	49.88	2993363.0	2973281.0	2966089.0	21180.0	3057.0	3037.0	0.1	0.0	1.45	0.0	1.29	2379657.0	12.31	40389.0	0.21	0.0	0.53	0.11	0.0	0.0
s157-c48.1-0.625-HFJTMBBXX-l3	149.89	17570076.0	50.0	14820768.0	84.35	49.82	2377298.0	2352686.0	2354400.0	17534.0	2103.0	3261.0	0.13	0.0	1.4	0.0	1.21	2114070.0	12.03	39221.0	0.22	0.0	3.24	0.15	0.0	0.0
s105-c29.1-5.000-HCHFWBBXX-l6	169.19	20678907.0	50.0	15743889.0	76.14	49.89	3238708.0	3217958.0	3213495.0	19563.0	2691.0	2959.0	0.11	0.0	1.38	0.0	1.21	4051704.0	19.59	53074.0	0.26	0.0	3.94	0.08	0.0	0.0
s037-c2.1-0.625-HCHFWBBXX-l3	174.54	21284127.0	50.0	18188888.0	85.46	49.85	2935435.0	2905534.0	2907142.0	21919.0	2627.0	3747.0	0.15	0.0	1.41	0.0	1.23	2847122.0	13.38	51069.0	0.24	0.0	0.77	0.16	0.0	0.0
s064-c25.1-2.500-HCMNYBBXX-l2	376.47	7843170.0	50.0	6487123.0	82.71	49.83	1249855.0	1240978.0	1238154.0	9434.0	1010.0	1257.0	0.14	0.01	1.27	0.01	1.22	1290271.0	16.45	19200.0	0.24	0.0	0.5	0.09	0.0	0.0
s134-c37-2.500-HCMJNBBXX-l3	10.48	9399281.0	50.0	4870092.0	51.81	49.84	968061.0	962263.0	961087.0	5165.0	790.0	1019.0	0.17	0.01	1.39	0.0	1.18	1731552.0	18.42	22530.0	0.24	0.0	29.48	0.05	0.0	0.0
s023-c21.1-1.250-HCMYYBBXX-l5	198.34	27547727.0	50.0	22564903.0	81.91	49.85	3841091.0	3801689.0	3807555.0	25936.0	3092.0	4508.0	0.13	0.0	1.3	0.01	1.21	4667302.0	16.94	65961.0	0.24	0.0	0.78	0.12	0.0	0.0
s045-c15.1-5.000-HCHFWBBXX-l4	0.54	11007.0	50.0	3364.0	30.56	49.67	582.0	576.0	576.0	3.0	1.0	2.0	0.24	0.01	2.1	0.01	1.31	672.0	6.11	25.0	0.23	0.0	62.81	0.29	0.0	0.0
s048-c19.1-1.250-HCMYYBBXX-l6	102.56	5612179.0	50.0	4426886.0	78.88	49.81	898889.0	892415.0	891794.0	5376.0	777.0	942.0	0.13	0.0	1.34	0.0	1.19	1068435.0	19.04	13764.0	0.25	0.0	1.78	0.06	0.0	0.0
s131-c37-0.000-HCMJNBBXX-l3	45.97	15297061.0	50.0	12020439.0	78.58	49.84	2064638.0	2050325.0	2047807.0	12696.0	1994.0	2141.0	0.16	0.0	1.46	0.0	1.2	2035019.0	13.3	31633.0	0.21	0.0	7.8	0.11	0.0	0.0
s097-c22-0.625-HFJYFBBXX-l2	114.6	13178670.0	50.0	8527096.0	64.7	49.9	1549558.0	1532047.0	1535935.0	10924.0	1280.0	1419.0	0.11	0.0	1.4	0.0	1.25	2170175.0	16.47	42649.0	0.32	0.0	18.39	0.12	0.0	0.0
